,index,순위,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,year,HR홈런,index,순위,선수명,팀명,AVG,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA,year,OBP출루율,BB볼넷,index,순위,선수명,팀명,AVG,XBH,GO,AO,GO/AO,GW RBI,BB/K,P/PA,ISOP,XR,GPA,year,BB/K볼넷/삼진,GO땅볼,ISOP순수장타율,GO/AO땅볼/뜬공
0,0,1,최형우,삼성,0.400,4,6,5,0,2,2,0,0.0,4,0,1,0,2002,,0.0,1,장성호,KIA,0.343,86.0,14,9,53,15,0.522,0.445,0.967,48,0.365,0.0,2002,,,0.0,1,장성호,KIA,0.343,48,146.0,125,1.17,0,1.62,3.92,0.179,106.7,0.331,2002,,,,
1,1,2,마해영,삼성,0.323,133,596,532,92,172,40,2,33.0,315,116,0,6,2002,,1.0,2,황성기,KIA,0.333,0.0,0,0,1,0,0.333,0.333,0.666,0,0.0,0.0,2002,,,1.0,2,황성기,KIA,0.333,0,0.0,1,0.00,0,0.00,5.00,0.000,0.3,0.233,2002,,,,
2,2,3,이승엽,삼성,0.323,133,617,511,123,165,42,2,47.0,352,126,0,2,2002,,2.0,3,정성훈,KIA,0.312,28.0,2,9,42,9,0.465,0.376,0.841,27,0.26,0.0,2002,,,2.0,3,정성훈,KIA,0.312,31,114.0,81,1.41,0,0.67,3.82,0.153,57.8,0.285,2002,,,,
3,3,4,김한수,삼성,0.311,127,541,486,69,151,23,1,17.0,227,76,2,4,2002,,3.0,4,신동주,KIA,0.311,24.0,2,3,59,8,0.443,0.377,0.820,25,0.277,0.308,2002,,,3.0,4,신동주,KIA,0.311,17,50.0,61,0.82,0,0.41,4.00,0.131,38.7,0.28,2002,,,,
4,4,5,강동우,삼성,0.288,130,521,466,75,134,23,3,9.0,190,49,7,1,2002,,4.0,5,이종범,KIA,0.293,43.0,5,13,63,7,0.464,0.365,0.829,41,0.337,0.0,2002,,,4.0,5,이종범,KIA,0.293,45,138.0,143,0.97,0,0.68,3.73,0.171,84.4,0.28,2002,,,,
5,5,6,조동찬,삼성,0.286,5,7,7,2,2,0,0,1.0,5,1,0,0,2002,,5.0,6,김종국,KIA,0.287,61.0,0,3,116,5,0.393,0.363,0.756,41,0.298,1.0,2002,,,5.0,6,김종국,KIA,0.287,37,150.0,111,1.35,0,0.53,3.85,0.106,82.1,0.262,2002,,,,
6,6,7,브리또,삼성,0.283,128,545,481,89,136,29,0,25.0,240,90,4,4,2002,,6.0,7,김경언,KIA,0.263,45.0,0,2,66,1,0.339,0.370,0.709,17,0.316,0.0,2002,,,6.0,7,김경언,KIA,0.263,18,73.0,64,1.14,0,0.68,4.06,0.077,39.0,0.251,2002,,,,
7,7,8,진갑용,삼성,0.281,133,517,462,58,130,29,1,18.0,215,86,1,5,2002,,7.0,8,김민철,KIA,0.261,4.0,0,1,10,0,0.283,0.333,0.616,1,0.357,0.25,2002,,,7.0,8,김민철,KIA,0.261,1,13.0,11,1.18,0,0.40,3.64,0.022,4.5,0.221,2002,,,,
8,8,9,김종훈,삼성,0.280,105,229,193,29,54,10,1,3.0,75,22,6,1,2002,,8.0,9,홍세완,KIA,0.257,30.0,2,6,68,10,0.399,0.315,0.714,25,0.265,0.0,2002,,,8.0,9,홍세완,KIA,0.257,33,127.0,107,1.19,0,0.44,3.85,0.142,49.9,0.242,2002,,,,
9,9,10,양준혁,삼성,0.276,132,437,391,60,108,23,2,14.0,177,50,0,1,2002,,9.0,10,이현곤,KIA,0.257,8.0,0,1,25,4,0.416,0.311,0.727,5,0.259,0.667,2002,,,9.0,10,이현곤,KIA,0.257,11,35.0,24,1.46,0,0.32,3.99,0.159,13.8,0.244,2002,,,,
10,10,11,박한이,삼성,0.272,133,586,504,89,137,24,2,10.0,195,47,14,2,2002,,10.0,11,펨버튼,KIA,0.255,23.0,3,19,56,6,0.432,0.351,0.783,22,0.226,0.0,2002,,,10.0,11,펨버튼,KIA,0.255,25,64.0,85,0.75,0,0.41,3.41,0.177,42.6,0.266,2002,,,,
11,11,12,장영균,삼성,0.250,5,6,4,1,1,1,0,0.0,2,0,0,0,2002,,11.0,12,오우진,KIA,0.250,0.0,0,1,6,1,0.250,0.294,0.544,0,0.167,0.444,2002,,,11.0,12,오우진,KIA,0.250,0,4.0,2,2.00,0,0.00,3.65,0.000,0.8,0.195,2002,,,,
12,12,13,박정환,삼성,0.234,119,372,316,49,74,12,2,9.0,117,36,13,2,2002,,12.0,12,장일현,KIA,0.250,11.0,0,1,24,3,0.379,0.313,0.692,4,0.239,0.3,2002,,,12.0,12,장일현,KIA,0.250,11,41.0,34,1.21,0,0.46,4.03,0.129,15.2,0.236,2002,,,,
13,13,14,현재윤,삼성,0.227,20,22,22,2,5,0,0,1.0,8,2,0,0,2002,,13.0,14,김인철,KIA,0.235,0.0,0,1,16,0,0.373,0.250,0.623,2,0.25,0.25,2002,,,13.0,14,김인철,KIA,0.235,5,12.0,11,1.09,0,0.00,3.92,0.137,4.7,0.206,2002,,,,
14,14,15,김재걸,삼성,0.207,83,106,92,17,19,1,0,2.0,26,10,4,2,2002,,14.0,15,김지훈,KIA,0.229,1.0,0,1,14,4,0.438,0.260,0.698,2,0.333,0.5,2002,,,14.0,15,김지훈,KIA,0.229,4,12.0,11,1.09,0,0.07,3.87,0.208,4.4,0.227,2002,,,,
15,15,16,하춘동,삼성,0.200,15,10,10,2,2,0,0,0.0,2,2,0,0,2002,,15.0,15,이동수,KIA,0.229,2.0,0,6,16,1,0.250,0.339,0.589,1,0.368,0.154,2002,,,15.0,15,이동수,KIA,0.229,1,11.0,10,1.10,0,0.13,4.00,0.021,4.6,0.215,2002,,,,
16,16,17,임재철,삼성,0.194,104,82,72,13,14,4,0,1.0,21,4,2,0,2002,,16.0,17,김태룡,KIA,0.227,5.0,0,1,26,1,0.351,0.267,0.618,3,0.138,0.25,2002,,,16.0,17,김태룡,KIA,0.227,8,24.0,27,0.89,0,0.19,3.89,0.124,9.3,0.208,2002,,,,
17,17,18,김승관,삼성,0.182,12,12,11,1,2,0,0,0.0,2,0,0,0,2002,,17.0,18,장정석,KIA,0.225,8.0,2,1,17,1,0.304,0.286,0.590,3,0.1,0.063,2002,,,17.0,18,장정석,KIA,0.225,6,39.0,24,1.63,0,0.47,3.80,0.078,9.6,0.205,2002,,,,
18,18,19,김승권,삼성,0.179,59,92,84,6,15,3,0,1.0,21,14,0,4,2002,,18.0,19,김상훈,KIA,0.221,18.0,0,5,67,11,0.314,0.266,0.580,16,0.202,0.0,2002,,,18.0,19,김상훈,KIA,0.221,19,128.0,86,1.49,0,0.27,3.64,0.092,28.6,0.198,2002,,,,
19,19,20,이준민,삼성,0.143,8,8,7,0,1,0,0,0.0,1,0,0,0,2002,,19.0,20,김창희,KIA,0.216,27.0,0,4,79,15,0.303,0.283,0.586,14,0.26,0.222,2002,,,19.0,20,김창희,KIA,0.216,17,106.0,63,1.68,0,0.34,3.86,0.087,26.1,0.203,2002,,,,
20,20,21,강영식,삼성,-,1,0,0,0,0,0,0,0.0,0,0,0,0,2002,,20.0,21,조민철,KIA,0.214,1.0,0,1,5,0,0.214,0.313,0.527,0,0.5,0.25,2002,,,20.0,21,조민철,KIA,0.214,0,4.0,2,2.00,0,0.20,3.44,0.000,1.2,0.194,2002,,,,
21,21,21,권혁,삼성,-,1,0,0,0,0,0,0,0.0,0,0,0,0,2002,,21.0,22,뉴선,KIA,0.209,17.0,1,0,38,3,0.435,0.308,0.743,4,0.132,0.0,2002,,,21.0,22,뉴선,KIA,0.209,12,28.0,26,1.08,0,0.45,4.02,0.226,16.4,0.247,2002,,,,
22,22,21,김수관,삼성,-,1,0,0,0,0,0,0,0.0,0,0,0,0,2002,,22.0,23,이재주,KIA,0.152,3.0,0,0,16,1,0.333,0.222,0.555,0,0.091,0.333,2002,,,22.0,23,이재주,KIA,0.152,2,6.0,6,1.00,0,0.19,4.16,0.182,2.4,0.183,2002,,,,
23,23,21,김진웅,삼성,-,1,0,0,0,0,0,0,0.0,0,0,0,0,2002,,23.0,24,김지영,KIA,0.136,1.0,0,0,5,1,0.136,0.174,0.310,0,0.143,0.0,2002,,,23.0,24,김지영,KIA,0.136,0,9.0,5,1.80,0,0.20,4.30,0.000,-0.3,0.112,2002,,,,
24,24,21,노병오,삼성,-,1,0,0,0,0,0,0,0.0,0,0,0,0,2002,,24.0,25,이대진,KIA,0.083,2.0,0,0,18,0,0.167,0.132,0.299,0,0.182,0.1,2002,,,24.0,25,이대진,KIA,0.083,2,8.0,7,1.14,0,0.11,4.47,0.083,-0.2,0.101,2002,,,,
25,25,21,노장진,삼성,-,3,0,0,0,0,0,0,0.0,0,0,0,0,2002,,25.0,26,박충식,KIA,-,0.0,0,0,0,0,-,-,-,0,0.0,0.0,2002,,,25.0,26,박충식,KIA,-,0,0.0,0,-,0,-,-,-,0.0,0.0,2002,,,,
26,26,21,라형진,삼성,-,1,0,0,0,0,0,0,0.0,0,0,0,0,2002,,26.0,26,방동민,KIA,-,0.0,0,0,0,0,-,-,-,0,0.0,0.0,2002,,,26.0,26,방동민,KIA,-,0,0.0,0,-,0,-,-,-,0.0,0.0,2002,,,,
27,27,21,박봉수,삼성,0.000,8,7,6,0,0,0,0,0.0,0,0,0,0,2002,,27.0,26,심제훈,KIA,0.000,0.0,0,0,0,0,0.000,0.000,0.000,0,0.0,0.0,2002,,,27.0,26,심제훈,KIA,0.000,0,2.0,0,-,0,-,3.00,0.000,0.0,0.0,2002,,,,
28,28,21,손주인,삼성,-,1,0,0,0,0,0,0,0.0,0,0,0,0,2002,,28.0,26,이강철,KIA,-,0.0,0,0,0,0,-,-,-,0,0.0,0.0,2002,,,28.0,26,이강철,KIA,-,0,0.0,0,-,0,-,-,-,0.0,0.0,2002,,,,
29,29,21,오상민,삼성,-,1,0,0,0,0,0,0,0.0,0,0,0,0,2002,,0.0,1,최형우,삼성,0.400,0.0,0,0,0,0,0.800,0.400,1.200,0,0.0,0.0,2002,,,0.0,1,최형우,삼성,0.400,2,2.0,1,2.00,0,-,2.83,0.400,1.2,0.38,2002,,,,
30,0,21,이태호,삼성,0.000,8,7,6,2,0,0,0,0.0,0,0,1,0,2002,,1.0,2,마해영,삼성,0.323,46.0,5,12,74,14,0.592,0.386,0.978,53,0.313,0.0,2002,,,1.0,2,마해영,삼성,0.323,75,142.0,150,0.95,0,0.62,3.54,0.269,110.6,0.322,2002,,,,
31,1,21,임창용,삼성,-,2,0,0,0,0,0,0,0.0,0,0,0,0,2002,,2.0,3,이승엽,삼성,0.323,89.0,5,15,109,11,0.689,0.436,1.125,47,0.331,0.0,2002,,,2.0,3,이승엽,삼성,0.323,91,103.0,136,0.76,0,0.82,4.13,0.366,136.1,0.368,2002,,,,
